song_id,artist,title,period,genre,ttr,mattr,fk_grade
f5b339aac81a,Parni valjak,Ostavljam trag,sfrj,rok,0.6170212765957447,0.8208888888888889,5.66
e080cd9e833a,Parni valjak,Otok,sfrj,rok,0.8888888888888888,0.92125,9.3
32f9342fda33,Parni valjak,Pariz,sfrj,rok,0.651685393258427,0.8099999999999999,7.76
6bdb98d49a02,Parni valjak,Povratak ratnika,sfrj,rok,0.711864406779661,0.8295652173913043,7.6
32c59897781d,Parni valjak,Prokleta nedjelja,sfrj,rok,0.6938775510204082,0.8559183673469387,10.95
25d5b4d8ae7c,Parni valjak,Pusti nek’ traje,sfrj,rok,0.7244897959183674,0.8138775510204083,5.1
094e76e5ecf9,Parni valjak,Romansa (sada bih drugačije),sfrj,rok,0.6666666666666666,0.819245283018868,6.9
9ac078ac2b29,Parni valjak,Sai-Baba blues,sfrj,rok,0.8155339805825242,0.8555555555555556,11.95
16192b3cb20c,Parni valjak,Samo san,sfrj,rok,0.48507462686567165,0.7964705882352942,9.49
c0e082d7ff80,Parni valjak,Samo sjećanja,sfrj,rok,0.7934782608695652,0.8772093023255814,8.33
6ea4f0ab7f59,Parni valjak,Sanjam,sfrj,rok,0.654320987654321,0.6975,7.14
299f4a9acd9e,Parni valjak,Sedamsto milja od kuće,sfrj,rok,0.49557522123893805,0.661875,4.52
d07681bbd833,Parni valjak,Sjaj u očima,sfrj,rok,0.6551724137931034,0.8232835820895523,7.42
2dcfb612954c,Parni valjak,Sjećanja,sfrj,rok,0.8450704225352113,0.8681818181818183,6.9
9633faa01565,Parni valjak,Staška,sfrj,rok,0.6888888888888889,0.7360975609756097,7.06
dc21bd08790a,Parni valjak,Stranica dnevnika,sfrj,rok,0.6837606837606838,0.7676470588235295,7.23
1dc0f5440e6f,Parni valjak,Suzama se vatre ne gase,sfrj,rok,0.42105263157894735,0.6895238095238095,6.01
5b64929a4ed0,Parni valjak,Sve još miriše na nju,sfrj,rok,0.7916666666666666,0.8873239436619719,6.87
e90e2223fb0a,Parni valjak,To nije političan song,sfrj,rok,0.44086021505376344,0.6186363636363637,5.04
0ad712e604f7,Parni valjak,Tvoji koraci,sfrj,rok,0.7727272727272727,0.8553846153846154,10.18
21237575911b,Parni valjak,U ljubav vjerujem,sfrj,rok,0.5726495726495726,0.8308823529411765,6.01
282092b61d3d,Parni valjak,U prolazu,sfrj,rok,0.6517857142857143,0.7844444444444445,7.49
92b04a93236b,Parni valjak,Uhvati ritam,sfrj,rok,0.6551724137931034,0.8728358208955224,8.54
f4896b909a95,Parni valjak,Večeras trebam društvo,sfrj,rok,0.5609756097560976,0.7618181818181818,9.32
